episode,reward,length
1103,0.0,30
1104,0.0,207
1105,0.0,19
1106,0.0,7
1107,0.0,19
1108,0.0,19
1109,0.0,146
1110,0.0,5
1111,0.0,52
1112,0.0,14
1113,0.0,23
1114,0.908594,26
1115,0.0,7
1116,0.0,11
1117,0.0,11
1118,0.796094,58
1119,0.0,23
1120,0.0,22
1121,0.0,17
1122,0.0,126
1123,0.0,3
1124,0.0,12
1125,0.0,86
1126,0.0,90
1127,0.0,33
1128,0.0,19
1129,0.0,11
1130,0.0,41
1131,0.0,137
1132,0.841797,45
1133,0.0,23
1134,0.0,54
1135,0.0,63
1136,0.0,37
1137,0.0,37
1138,0.0,7
1139,0.0,3
1140,0.0,181
1141,0.0,6
1142,0.0,41
1143,0.0,32
1144,0.0,12
1145,0.0,28
1146,0.0,256
1147,0.0,63
1148,0.0,14
1149,0.0,59
1150,0.0,130
1151,0.0,36
1152,0.0,256
1153,0.0,2
1154,0.0,246
1155,0.0,99
1156,0.0,40
1157,0.0,34
1158,0.0,118
1159,0.0,205
1160,0.0,53
1161,0.0,7
1162,0.0,44
1163,0.0,5
1164,0.0,193
1165,0.0,56
1166,0.0,11
1167,0.0,47
1168,0.0,18
1169,0.0,113
1170,0.0,37
1171,0.0,181
1172,0.0,30
1173,0.0,5
1174,0.0,165
1175,0.0,87
1176,0.0,9
1177,0.0,86
1178,0.0,32
1179,0.0,207
1180,0.0,31
1181,0.0,6
1182,0.0,33
1183,0.0,42
1184,0.0,62
1185,0.0,7
1186,0.0,83
1187,0.0,70
1188,0.0,256
1189,0.992969,2
1190,0.0,28
1191,0.0,104
1192,0.0,8
1193,0.0,44
1194,0.0,152
1195,0.0,59
1196,0.0,70
1197,0.0,21
1198,0.0,82
1199,0.0,205
1200,0.0,4
1201,0.894531,30
1202,0.0,41
1203,0.0,9
1204,0.0,225
1205,0.0,33
1206,0.0,193
1207,0.0,32
1208,0.0,160
1209,0.824219,50
1210,0.0,17
1211,0.0,167
1212,0.0,29
1213,0.0,1
1214,0.0,81
1215,0.0,126
1216,0.0,256
1217,0.0,57
1218,0.0,23
1219,0.0,20
1220,0.0,206
1221,0.0,63
1222,0.0,43
1223,0.0,44
1224,0.0,117
1225,0.0,120
1226,0.0,81
1227,0.0,94
1228,0.0,148
1229,0.0,15
1230,0.0,3
1231,0.0,61
1232,0.0,73
1233,0.0,89
1234,0.0,8
1235,0.0,80
1236,0.0,6
1237,0.0,33
1238,0.0,81
1239,0.0,21
1240,0.0,175
1241,0.0,28
1242,0.0,23
1243,0.0,98
1244,0.0,205
1245,0.0,12
1246,0.0,80
1247,0.0,179
1248,0.0,29
1249,0.0,79
1250,0.0,1
1251,0.0,14
1252,0.0,38
1253,0.0,56
1254,0.0,79
1255,0.0,170
1256,0.0,61
1257,0.0,79
1258,0.0,22
1259,0.0,61
1260,0.0,90
1261,0.0,103
1262,0.0,66
1263,0.0,151
1264,0.0,43
1265,0.0,1
1266,0.0,42
1267,0.0,20
1268,0.0,22
1269,0.0,77
1270,0.0,256
1271,0.0,3
1272,0.0,4
1273,0.0,57
1274,0.0,16
1275,0.0,18
1276,0.0,6
1277,0.0,145
1278,0.0,190
1279,0.0,52
1280,0.0,4
1281,0.0,59
1282,0.0,86
1283,0.0,256
1284,0.0,58
1285,0.0,64
1286,0.0,71
1287,0.0,13
1288,0.0,36
1289,0.0,249
1290,0.0,38
1291,0.0,91
1292,0.0,101
1293,0.0,21
1294,0.0,12
1295,0.0,256
1296,0.0,11
1297,0.0,27
1298,0.0,62
1299,0.0,21
1300,0.0,70
1301,0.0,71
1302,0.0,24
1303,0.0,4
1304,0.0,35
1305,0.0,186
1306,0.0,18
1307,0.0,13
1308,0.0,127
1309,0.0,256
1310,0.0,83
1311,0.0,66
1312,0.0,64
1313,0.0,253
1314,0.0,11
1315,0.0,17
1316,0.0,57
1317,0.0,2
1318,0.0,13
1319,0.0,19
1320,0.0,62
1321,0.0,28
1322,0.0,15
1323,0.0,154
1324,0.0,44
1325,0.0,85
1326,0.0,73
1327,0.0,35
1328,0.0,147
1329,0.0,50
1330,0.0,45
1331,0.0,86
1332,0.0,18
1333,0.0,28
1334,0.0,13
1335,0.0,53
1336,0.0,147
1337,0.0,172
1338,0.0,172
1339,0.0,39
1340,0.0,52
1341,0.0,74
1342,0.0,149
1343,0.0,173
1344,0.0,132
1345,0.0,2
1346,0.0,12
1347,0.0,68
1348,0.0,12
1349,0.0,17
1350,0.0,12
1351,0.0,28
1352,0.0,122
1353,0.0,32
1354,0.0,9
1355,0.0,26
1356,0.0,4
1357,0.0,45
1358,0.0,227
1359,0.0,58
1360,0.0,3
1361,0.0,10
1362,0.0,65
1363,0.0,11
1364,0.0,224
1365,0.0,89
1366,0.0,7
1367,0.0,49
1368,0.0,11
1369,0.0,97
1370,0.0,84
1371,0.0,44
1372,0.0,44
1373,0.0,101
1374,0.0,44
1375,0.0,256
1376,0.0,22
1377,0.0,5
1378,0.0,6
1379,0.0,51
1380,0.0,4
1381,0.0,90
1382,0.0,26
1383,0.0,18
1384,0.0,69
1385,0.0,38
1386,0.0,49
1387,0.0,12
1388,0.0,99
1389,0.0,6
1390,0.0,35
1391,0.0,4
1392,0.954297,13
1393,0.0,44
1394,0.0,60
1395,0.0,2
1396,0.845313,44
1397,0.0,43
1398,0.0,22
1399,0.0,59
1400,0.0,208
1401,0.0,38
1402,0.0,218
1403,0.0,182
1404,0.0,178
1405,0.0,140
1406,0.0,113
1407,0.0,57
1408,0.912109,25
1409,0.0,167
1410,0.0,192
1411,0.0,1
1412,0.0,19
1413,0.0,11
